Batch Status,Cycle End Time,DataLabel,Program Number
FAILED,2019-01-09 09:42:00,1,8
OK,2019-01-09 11:30:00,2,8
OK,2019-01-09 12:32:00,3,3
OK,2019-01-09 14:00:00,4,11
OK,2019-01-09 16:10:00,5,10
FAILED,2019-01-09 16:44:00,6,4
OK,2019-01-10 09:36:00,7,5
OK,2019-01-10 11:08:00,8,6
OK,2019-01-10 13:26:00,9,7
OK,2019-01-10 14:55:00,10,20
OK,2019-01-10 16:07:00,11,20
Emergency Failure,2019-01-11 08:16:00,12,20
OK,2019-01-11 09:33:00,13,20
OK,2019-01-11 14:08:00,14,9
FAILED,2019-01-11 16:48:00,15,7
Maintenance,2019-01-14 15:05:00,16,1
Maintenance,2019-01-14 16:04:00,17,2
FAILED,2019-01-15 10:20:00,18,11
OK,2019-01-15 11:22:00,19,11
OK,2019-01-15 12:28:00,20,9
OK,2019-01-15 13:35:00,21,3
OK,2019-01-15 14:59:00,22,10
OK,2019-01-15 16:59:00,23,5
OK,2019-01-16 09:50:00,24,4
OK,2019-01-16 15:51:00,25,6
Emergency Failure,2019-01-17 08:35:00,26,20
OK,2019-01-17 11:26:00,27,20
OK,2019-01-17 15:23:00,28,20
Maintenance,2019-01-23 08:40:00,29,1
Maintenance,2019-01-23 09:17:00,30,1
Maintenance,2019-01-23 10:10:00,31,2
Emergency Failure,2019-01-23 10:16:00,32,20
Emergency Failure,2019-01-23 10:16:00,33,20
OK,2019-01-23 15:04:00,34,20
FAILED,2019-09-26 18:16:00,35,9
Maintenance,2019-09-27 11:57:00,36,1
Maintenance,2019-09-27 12:55:00,37,2
FAILED,2019-09-27 15:59:00,38,8
FAILED,2019-09-27 16:34:00,39,8
Maintenance,2019-09-28 11:40:00,40,1
OK,2019-09-28 14:03:00,41,3
OK,2019-09-30 13:13:00,42,4
OK,2019-09-30 14:14:00,43,8
OK,2019-09-30 16:29:00,44,4
OK,2019-09-30 17:39:00,45,8
FAILED,2019-09-30 18:35:00,46,11
FAILED,2019-10-01 11:49:00,47,11
OK,2019-10-01 12:56:00,48,5
OK,2019-10-01 15:37:00,49,7
OK,2019-10-01 17:21:00,50,6
OK,2019-10-01 18:24:00,51,9
FAILED,2019-10-03 17:21:00,52,10
Maintenance,2019-10-04 14:09:00,53,1
OK,2019-10-04 17:07:00,54,3
OK,2019-10-08 12:53:00,55,10
Emergency Failure,2019-10-08 13:15:00,56,20
OK,2019-10-09 14:47:00,57,20
OK,2019-10-09 17:19:00,58,12
Maintenance,2019-10-10 11:36:00,59,1
OK,2019-11-14 12:18:00,60,12
OK,2019-11-14 13:24:00,61,12
OK,2019-12-12 12:36:00,62,11
OK,2019-12-12 14:35:00,63,5
OK,2019-12-14 11:56:00,64,3
OK,2019-12-14 14:15:00,65,3
Maintenance,2019-12-16 10:15:00,66,1
OK,2019-12-16 12:38:00,67,3
FAILED,2019-12-16 15:45:00,68,13
Maintenance,2019-12-17 09:55:00,69,1
OK,2019-12-17 10:52:00,70,12
OK,2019-12-17 13:51:00,71,3
OK,2019-12-17 15:19:00,72,13
OK,2019-12-18 11:21:00,73,3
OK,2019-12-18 13:59:00,74,5
OK,2019-12-19 13:49:00,75,13
FAILED,2019-12-20 11:31:00,76,13
OK,2019-12-21 10:42:00,77,13
OK,2019-12-23 16:54:00,78,5
Maintenance,2019-12-24 09:15:00,79,1
OK,2019-12-24 11:05:00,80,5
OK,2019-12-24 14:01:00,81,13
OK,2019-12-26 14:12:00,82,3
FAILED,2019-12-30 17:16:00,83,5
OK,2019-12-31 10:51:00,84,5
OK,2019-12-31 13:16:00,85,3
OK,2020-01-01 13:04:00,86,5
OK,2020-01-01 15:28:00,87,14
OK,2020-01-02 14:45:00,88,5
OK,2020-01-02 19:01:00,89,5
OK,2020-01-04 07:39:00,90,5
OK,2020-01-04 10:09:00,91,13
OK,2020-01-04 14:38:00,92,13
OK,2020-01-07 18:05:00,93,5
OK,2020-01-09 11:20:00,94,5
OK,2020-01-09 13:48:00,95,5
OK,2020-01-10 12:36:00,96,5
OK,2020-01-13 13:19:00,97,3
OK,2020-01-13 14:42:00,98,15
OK,2020-01-13 18:18:00,99,16
OK,2020-01-15 18:13:00,100,17
OK,2020-01-16 17:44:00,101,17
Maintenance,2020-01-18 16:29:00,102,1
OK,2020-01-18 17:28:00,103,12
FAILED,2020-01-18 20:47:00,104,17
Maintenance,2020-01-20 13:18:00,105,1
FAILED,2020-01-20 18:00:00,106,12
Maintenance,2020-01-21 08:04:00,107,1
OK,2020-01-21 09:32:00,108,12
OK,2020-01-21 14:54:00,109,17
FAILED,2020-01-21 21:37:00,110,17
