DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status
1,2.11,0.0,122.1,122.2,122.1,8,0
2,2.1091803278688523,121.74426229508197,121.96311475409836,122.16147540983609,122.0139344262295,8,1
3,2.108934426229508,121.77950819672132,122.04016393442625,122.26967213114754,122.14016393442624,3,1
4,2.1090243902439023,121.76016260162602,121.96829268292684,122.20325203252033,122.08292682926827,11,1
5,2.109754098360656,121.59590163934426,121.8311475409836,122.027868852459,121.88360655737706,10,1
6,2.1071875,45.54375,121.828125,122.003125,121.878125,4,0
7,2.1090983606557376,121.76639344262296,121.95409836065572,122.1344262295082,121.96967213114752,5,1
8,2.109016393442623,121.81967213114754,121.94836065573772,122.15983606557376,122.04918032786884,6,1
9,2.111065573770492,121.91311475409836,122.00655737704918,122.20409836065572,122.04590163934428,7,1
10,2.1096691176470586,121.85698529411764,121.97242647058825,122.175,122.04669117647056,20,1
11,3.2191911764705883,135.8591911764706,135.97279411764706,136.18198529411765,136.08124999999998,20,1
12,2.0,96.68571429,118.6714286,118.5,118.6,20,0
13,1.4298529411764704,109.77463235294118,109.98198529411764,110.1720588235294,110.02757352941175,20,1
14,2.1094262295081965,121.75983606557377,121.93770491803278,122.1434426229508,121.98852459016392,9,1
15,0.85,95.88333333333333,113.0,114.25,113.2,7,0
16,0.08,19.7,19.7,19.8,19.8,1,0
17,3.15,27.0,27.2,27.4,27.3,2,0
18,2.10625,121.2875,121.6,121.725,121.6125,11,0
19,2.108688524590164,121.777868852459,121.95409836065572,122.14590163934427,121.95901639344262,11,1
20,2.108934426229508,121.7639344262295,121.95081967213116,122.1327868852459,121.95901639344262,9,1
21,2.109016393442623,121.7672131147541,121.94508196721311,122.12295081967213,121.9622950819672,3,1
22,2.1091803278688523,121.73196721311474,121.93770491803278,122.11967213114754,121.95737704918032,10,1
23,2.1087704918032784,121.76147540983608,121.94098360655735,122.1155737704918,121.95737704918032,5,1
24,2.11,121.7622950819672,121.97704918032788,122.1590163934426,121.98852459016392,4,1
25,2.1091803278688523,121.77131147540985,121.95983606557375,122.14180327868851,121.9934426229508,6,1
26,2.0,96.68571429,118.6714286,118.5,118.6,20,0
27,2.109917127071823,121.79613259668508,121.99585635359117,122.1950276243094,122.0011049723757,20,1
28,2.109878048780488,121.79658536585366,121.9960975609756,122.19024390243902,121.99756097560976,20,1
29,0.08,19.7,19.7,19.8,19.8,1,0
30,0.08,19.7,19.7,19.8,19.8,1,0
31,3.15,27.0,27.2,27.4,27.3,2,0
32,2.0,96.68571429,118.6714286,118.5,118.6,20,0
33,2.0,96.68571429,118.6714286,118.5,118.6,20,0
34,2.1098895027624307,121.796408839779,121.99613259668509,122.1743093922652,121.99613259668509,20,1
35,1.957142857142857,96.68571428571428,118.67142857142858,118.5,118.6,9,0
36,0.08,19.7,19.7,19.8,19.8,1,0
37,3.15,27.0,27.2,27.4,27.3,2,0
38,1.29,107.15,107.35,107.5,107.45,8,0
39,1.856875,118.015625,118.140625,118.315625,118.2796875,8,0
40,0.08,19.7,19.7,19.8,19.8,1,0
41,2.1081967213114754,122.0155737704918,122.1434426229508,122.31229508196722,122.28360655737706,3,1
42,2.074191616766467,120.97844311377246,121.5431137724551,121.68263473053892,121.66766467065868,4,1
43,2.108360655737705,122.05491803278689,122.14180327868851,122.26803278688526,122.26065573770492,8,1
44,2.1085245901639347,122.06311475409836,122.15,122.33360655737704,122.29754098360657,4,1
45,2.108360655737705,122.05,122.1434426229508,122.29754098360657,122.27704918032786,8,1
46,2.0780000000000003,121.34,121.44,121.66,121.64,11,0
47,2.0969230769230767,121.63076923076925,121.8153846153846,121.96923076923076,121.92307692307692,11,0
48,2.108032786885246,122.0377049180328,122.13688524590164,122.32131147540984,122.29590163934428,5,1
49,2.111311475409836,122.11065573770492,122.2827868852459,122.45901639344262,122.39672131147542,7,1
50,2.1085245901639347,122.06065573770492,122.19918032786885,122.35081967213117,122.31639344262295,6,1
51,2.10827868852459,122.05983606557376,122.34508196721312,122.35409836065574,122.32622950819672,9,1
52,1.96,119.44255319148937,119.64574468085108,119.83404255319148,119.7936170212766,10,0
53,0.08,19.7,19.7,19.8,19.8,1,0
54,2.1086813186813185,122.06318681318682,122.11813186813188,122.33736263736265,122.29175824175825,3,1
55,2.10827868852459,121.94590163934426,122.10409836065574,122.25901639344262,122.23032786885246,10,1
56,2.0,96.68571429,118.6714286,118.5,118.6,20,0
57,2.1098895027624307,121.99668508287292,122.19475138121548,122.39337016574586,122.3171270718232,20,1
58,2.106935483870968,121.91612903225808,122.08870967741936,122.28064516129034,122.23387096774194,12,1
59,0.08,19.7,19.7,19.8,19.8,1,0
60,2.076774193548387,121.48548387096774,121.66451612903224,121.85322580645162,121.82096774193548,12,1
61,2.0766129032258065,121.46935483870968,121.65,121.82741935483872,121.78387096774192,12,1
62,2.0768032786885247,121.55655737704916,121.74344262295082,121.91229508196722,121.97950819672133,11,1
63,2.0765934065934064,121.56043956043956,121.67472527472528,121.87472527472528,121.83241758241758,5,1
64,2.1096153846153847,122.07472527472528,122.178021978022,122.36923076923075,122.30329670329672,3,1
65,2.1090659340659337,122.02032967032967,122.15,122.3554945054945,122.2978021978022,3,1
66,0.08,19.7,19.7,19.8,19.8,1,0
67,2.1097252747252746,122.02692307692308,122.16428571428573,122.3587912087912,122.29835164835164,3,1
68,2.109963898916967,122.0879061371841,122.12996389891696,122.3673285198556,122.29963898916968,13,0
69,0.08,19.7,19.7,19.8,19.8,1,0
70,2.076774193548387,121.49516129032256,121.62903225806453,121.81935483870969,121.77580645161292,12,1
71,2.1098351648351645,122.07582417582417,122.13846153846154,122.34835164835164,122.2923076923077,3,1
72,2.1094505494505493,122.07252747252748,122.11428571428571,122.35164835164836,122.2868131868132,13,1
73,2.10989010989011,122.07967032967034,122.16703296703298,122.36318681318684,122.29285714285714,3,1
74,2.077032967032967,121.5675824175824,121.6478021978022,121.85769230769232,121.80164835164835,5,1
75,2.1095054945054947,121.99010989010988,122.17142857142858,122.33516483516485,122.28571428571428,13,1
76,1.633957219251337,113.27486631016043,114.8577540106952,114.572192513369,115.29732620320854,13,0
77,2.1096153846153847,121.98516483516484,122.1598901098901,122.33516483516485,122.28736263736263,13,1
78,2.0769021739130435,121.57282608695652,121.67445652173912,121.8445652173913,121.8,5,1
79,0.08,19.7,19.7,19.8,19.8,1,0
80,2.077540983606557,121.56830601092896,121.68142076502733,121.86502732240436,121.81256830601092,5,1
81,2.1094505494505493,121.98791208791208,122.13296703296704,122.33186813186812,122.28406593406594,13,1
82,2.109781420765027,122.06666666666668,122.1726775956284,122.34590163934426,122.29617486338798,3,1
83,2.06,120.7,121.0,121.1,121.1,5,0
84,2.076448087431694,121.57049180327868,121.67486338797814,121.8568306010929,121.82622950819672,5,1
85,2.1098351648351645,122.06868131868131,122.1543956043956,122.34615384615384,122.29065934065932,3,1
86,2.0765760869565217,121.56630434782608,121.67228260869564,121.8592391304348,121.8233695652174,5,1
87,2.1094505494505493,122.07142857142856,122.14010989010988,122.33736263736265,122.28571428571428,14,1
88,2.0765934065934064,121.57142857142856,121.67307692307692,121.85604395604396,121.81593406593409,5,1
89,2.076923076923077,121.5934065934066,121.6587912087912,121.85659340659342,121.81153846153846,5,1
90,2.0765934065934064,121.60274725274724,121.67747252747252,121.8587912087912,121.81648351648352,5,1
91,2.1093442622950818,122.0136612021858,122.14371584699452,122.348087431694,122.2830601092896,13,1
92,2.10956043956044,122.01043956043956,122.1302197802198,122.34175824175824,122.29285714285714,13,1
93,2.076538461538461,121.55274725274724,121.63186813186812,121.82142857142856,121.78901098901098,5,1
94,2.076703296703297,121.56703296703296,121.64890109890108,121.83736263736265,121.79615384615384,5,1
95,2.076775956284153,121.56885245901638,121.62841530054644,121.82677595628417,121.79071038251368,5,1
96,2.0765217391304347,121.56304347826088,121.6375,121.82989130434784,121.79239130434782,5,1
97,2.1096153846153847,122.06868131868131,122.16703296703298,122.3521978021978,122.32692307692308,3,1
98,2.1092857142857144,122.03241758241757,122.1368131868132,122.34725274725275,122.30384615384617,15,1
99,2.1093956043956044,122.06483516483516,122.13901098901098,122.35164835164836,122.3120879120879,16,1
100,2.1093956043956044,122.08241758241758,122.17307692307692,122.35329670329668,122.30824175824176,17,1
101,2.1093406593406594,122.06153846153846,122.16208791208793,122.35824175824176,122.3087912087912,17,1
102,0.08,19.7,19.7,19.8,19.8,1,0
103,2.076129032258065,121.48870967741937,121.62258064516128,121.7983870967742,121.76612903225806,12,1
104,2.097142857142857,121.74285714285716,121.77142857142856,121.95714285714288,121.95714285714288,17,0
105,0.08,19.7,19.7,19.8,19.8,1,0
106,2.076315789473684,121.3122807017544,121.48771929824562,121.68245614035088,121.67894736842103,12,0
107,0.08,19.7,19.7,19.8,19.8,1,0
108,2.076935483870968,121.43225806451612,121.60806451612903,121.77903225806452,121.76774193548388,12,1
109,2.1091803278688523,122.01857923497268,122.09289617486338,122.2825136612022,122.28087431693989,17,1
110,2.1,121.73333333333332,121.83333333333331,121.96666666666664,121.96666666666664,17,0
111,0.08,19.7,19.7,19.8,19.8,1,0
112,2.076451612903226,121.4241935483871,121.61935483870968,121.78548387096774,121.77258064516128,12,1
113,2.1096703296703296,121.97912087912088,122.0912087912088,122.28791208791208,122.28791208791208,17,1
114,0.08,19.7,19.7,19.8,19.8,1,0
115,2.0766129032258065,121.43387096774194,121.59677419354838,121.77741935483871,121.76935483870967,12,1
116,0.08,19.7,19.7,19.8,19.8,1,0
117,2.076451612903226,121.43225806451612,121.6064516129032,121.77741935483871,121.76935483870967,12,1
118,2.1096153846153847,121.9912087912088,122.09505494505494,122.28736263736263,122.28571428571428,17,1
119,2.1,121.7,121.85,122.0,122.0,17,0
120,2.1,121.7,121.85,122.0,121.975,17,0
121,2.0763934426229507,121.5262295081967,121.64590163934426,121.84426229508196,121.82295081967212,11,1
122,2.1096703296703296,122.02087912087912,122.1423076923077,122.34065934065934,122.3076923076923,17,1
123,2.1,121.74,121.86,122.04,122.02,17,0
124,2.10956043956044,122.03571428571428,122.16593406593408,122.33791208791207,122.32252747252748,17,1
125,2.1096153846153847,122.03846153846152,122.13901098901098,122.33846153846152,122.31648351648352,17,1
126,2.1096153846153847,122.03296703296704,122.12637362637362,122.32967032967034,122.30329670329672,17,1
127,0.08,19.7,19.7,19.8,19.8,1,0
128,2.076290322580645,121.48548387096774,121.62741935483872,121.8225806451613,121.79516129032258,12,1
129,0.08,19.7,19.7,19.8,19.8,1,0
130,2.075967741935484,121.48064516129033,121.62258064516128,121.79516129032258,121.77580645161292,12,1
131,2.10956043956044,122.04505494505494,122.13076923076925,122.3478021978022,122.30494505494504,17,1
132,0.1509090909090909,54.190909090909095,77.15454545454546,75.4,72.95454545454545,17,0
133,0.08,19.7,19.7,19.8,19.8,1,0
134,0.08,19.7,19.7,19.8,19.8,1,0
135,2.0768711656441714,121.6,121.68282208588955,92.70552147239265,121.85950920245398,12,0
136,0.08,19.7,19.7,19.8,19.8,1,0
137,2.072222222222222,121.33333333333331,121.57777777777778,121.52222222222224,121.6,11,0
138,0.08,19.7,19.7,19.8,19.8,1,0
139,2.1095054945054947,122.06703296703296,122.28626373626372,122.27472527472528,122.29395604395604,17,1
140,2.106666666666667,121.76666666666668,122.05,122.03333333333336,122.1,3,0
141,2.10375,121.75,122.0125,122.0125,122.075,3,0
142,2.108846153846154,122.0521978021978,122.2978021978022,122.27692307692308,122.31043956043956,3,1
143,2.1094505494505493,122.04505494505494,122.30494505494504,122.28296703296704,122.32142857142856,3,1
144,2.075,121.325,121.9625,121.625,121.625,5,0
145,2.097142857142857,121.75714285714284,121.95714285714288,121.91428571428573,122.01428571428572,17,0
146,0.08,19.7,19.7,19.8,19.8,1,0
147,2.068888888888889,121.28888888888888,121.88888888888889,121.4888888888889,121.54444444444444,11,0
148,2.076311475409836,121.56967213114754,122.09262295081966,121.95081967213116,121.99262295081968,11,1
149,2.076065573770492,121.59918032786884,121.93606557377048,121.84918032786884,121.8688524590164,11,1
150,2.109230769230769,122.1346153846154,122.28846153846152,122.27637362637364,122.32637362637364,17,1
151,0.08,19.7,19.7,19.8,19.8,1,0
152,0.08,19.7,19.7,19.8,19.8,1,0
